"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 0.263869202856651 0 0 0 0 0 0 0 0.0166228086685064 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.324646764910257 0 0 0 0 0 1.06442533860441 0 -0.016908027840349 0 0 0 0.0838397499142547 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 0.353567273940157 0 0 0.386038083580064 0 0 0.216530671666553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.274642142315865 0 0 0 0 0 0 0 0 0.620434055112751 0 0 0 0.029126648252088 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.137911109271438 0 0 0 0 0 0 0 0.01426738715505 0 0 0 0 0 0 0 0.101729592419595 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.696286133727283 0 0 -0.560099259887037 0 0 0 0 -0.274559885706101 0 0 0 0 0 0 0 -0.413299095706378 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 -0.849436915522059 0 0 0 0 0 0 0 -0.243545497048718 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.06772001906158 0 0 0 0 0 -0.610549124093852 0 -0.575091326027368 0 0 0 -0.562629586619013 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 -0.550443345243707 0 0 -0.452172472678501 0 0 -0.199055132355023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
