"weeksábado" "weeksexta" "weekterça" "no2_11" "weeksábado:no_7" "weeksábado:no_9" "weeksegunda:no_9" "weekquarta:no_10" "weekterça:no_10" "weekquarta:no_11" "weekquinta:no_11" "weekquinta:no_12" "weeksegunda:no_12" "weekquinta:no_13" "weeksábado:no_13" "weeksegunda:no_13" "weekterça:no_13" "weekquinta:no2_7" "weekquarta:no2_8" "weeksegunda:no2_8" "weekquinta:no2_9" "weekterça:no2_9" "weekquinta:no2_10" "weeksegunda:no2_10" "weekquarta:no2_11" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksegunda:no2_13" "weeksábado:CO_7" "weekquarta:CO_8" "weekquinta:CO_8" "weeksábado:CO_8" "weeksábado:CO_9" "weeksegunda:CO_9" "weeksexta:CO_9" "weekterça:CO_9" "weekquinta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weeksegunda:CO_11" "weeksábado:CO_12" "weeksegunda:CO_12" "weekquarta:CO_13" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonWinter:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter" "ONI:seasonSpring"
0 0 1 -0.183289249462403 0 0 0 0 0.755131867142218 0 0 0 0 0 0 0 0.781296083582974 0 0 0 0 -0.297821650559298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.416955957901902 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.757546989313064 0 0 0 0.888724834824932 0 2.06349096455325 0 0 0 0 0 0 0 0 -0.170646733138359 0 0 0 0 0 0.757546989313064 0 0 0 -0.553318408804468 0 0 0.399826920901935 0 0 0 0 0 0 0 0 0 1.36122000757147 0 0 0 0.949579600026322 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.0726026331358775 0 0 0 0 0 0 0.777652109907192 0.871801525002583 0 -0.239999530300699 0 0 0 0.807116672574276 0 0 1.29353481335059 0 0.812719547359455 0 0 0 0 0 0 0 0 0 0.942963336432499 0 0 0 0 0 1.92556142287203 0 0 0 0 0 0 0 0.660755749151358 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 -0.248030477879805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.60724945323806 0 0 0 2.3842299993489 0 0 0 0 0 0 0 0.522442824143949 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -1.61072891472995 -0.114845976093573 -0.978955292103257 0 0 0 0 0 0 0 0 -1.06299979141572 0 0 0 0 0 0 0 0 0 0 -1.61072891472995 0 -1.43102542512613 0 0 -0.322515908231514 0 0 -0.220152488741319 -0.0572956570824804 0 0 0 0 0.118912238697246 0 0 0 -0.365697861471574 0 0 0 -0.68092097257597 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.53450133933527 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.23585631792597 0 0 -0.40887498947972 0 0 0 0 0 -0.653596388781995 0 0 -0.456931664344604 0 0 0 -1.03290915489299 0 0 0 -1.19951120012903 0 0 -1.23585631792597 0 0 -1.13902347743836 0 0 0 0 0 0.760158518297399 0 0 0 0 0 0 0.49434416758631 0 -0.0639701716492073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 -1.41232837603147 0 0 0 0 -0.785333249861219 0 0 0 0 0 0 0 -0.682063982149618 0 0 0 0 -1.57777428261777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.000941390508663699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.822347826743853 0 0 0 -0.146850997419006 0 -0.0152526135580424 0 0 0 0 0 0 0 0 -0.686919579371321 0 0 0 0 0 -0.822347826743853 0 0 0 -0.756313170270585 0 0 -0.281739474499034 0 0 0 0 0 0 0 0 0 0.939009031755971 0 0 0 0.547665808973402 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.771181372026874 0 0 0 0 0 0 -0.241546218263829 -0.252218051173763 0 -0.286218747863318 0 0 0 0.301761252596263 0 0 -0.229147041253663 0 -0.582199733526631 0 0 0 0 0 0 0 0 0 0.124824703875939 0 0 0 0 0 0.836882560314854 0 0 0 0 0 0 0 0.395294171110232 0 0 0 0 0 0 0 0 0 0 0 0 0
