"weekWeekday" "no2_8" "no2_11" "weekWeekday:CO_10" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
1 0.400941060905278 -0.89335433533068 1.43123712221047 0 0 0 0 0 0 0 0 0
0 0.430225445040341 -1.15649610244657 0 0 0 0 0 0 0 0 0 0
0 -1.01555544577592 -1.27971327911195 0 0 0 0 0 0 0 0 0 0
1 -0.231384715048119 -0.0746910598590195 1.04096649134857 0 0 0 0 0 0 0 0 0
1 -0.0838781875529872 -0.422414109262161 0.695993891406123 0 0 0 0 0 0 0 0 0
1 -0.416852481236851 0.024509209490225 1.20370643091523 0 0 0 0 0 0 0 0 0
1 -0.0383247011206669 0.240661375335421 0.929351588210146 0 0 0 0 0 0 0 0 0
1 1.53001676033493 2.9054938740646 0.06363867018585 0 0 0 0 0 0 0 0 0
0 -1.26609962115368 -1.21706047741769 0 0 0 0 0 0 0 0 0 0
0 -1.12076230729818 0.591517064823276 0 0 0 0 0 0 0 0 0 0
1 1.3640719169029 3.0746564386391 1.59730677921072 0 0 0 0 0 0 0 0 0
1 0.425887017761072 -0.346186533867478 1.88720030327255 0 0 0 0 0 0 0 0 0
1 0.0679667672214136 2.9128033675956 -0.0522907326797838 0 0 0 0 0 0 0 0 0
1 1.69704621058677 0.976831795242973 1.63899761624378 0 0 0 0 0 0 0 0 0
1 -1.58931245345919 1.03635195685252 2.58373556891143 0 0 0 0 0 0 0 0 0
0 0.0451900240052534 -1.04267684603533 0 0 0 0 0 0 0 0 0 0
0 -1.03399376171281 0.100736784884908 0 0 0 0 0 0 0 0 0 0
1 1.05712818689465 0.603003411800557 1.68318574135203 0 0 0 0 0 0 0 0 0
1 0.974698068588548 0.991450782304967 2.17071186892001 0 0 0 0 0 0 0 0 0
1 0.754522884165667 0.890162086232581 1.89392910725293 0 0 0 0 0 0 0 0 0
1 0.695954115895542 1.32768748473083 3.04649692306709 0 0 0 0 0 0 0 0 0
