"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 -0.385866641607176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.16684589661045 0 0 0 0 0 0 0 1.08855370300362 0 0 0 0 0 0 0 0.860730602235688 0 0 0 0 0 0 0 0 0
1 0 -1.27866906575038 -0.181269271999905 0 0 0 -0.367475114223406 0 -0.766095877217972 0 0 -1.27866906575038 0 -1.11665896767032 0 -0.320075483217994 0 0 0.0367226630068122 0 0 0 0 0.661656180372238 0 0 0 0 0 0 0 0.719574922790533 0 0 0 0 0 0 0 0 0 0
0 0 -1.59402150094482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.87247006809926 0 0.731285615767354 0.395812850616296 0 0 0.117081198933081 0 0 -0.780012247686516 0 -0.87247006809926 0 0 0 0 0 0 0 0.889811408624322 0 0 0 0 0 0 0 1.1069396325412 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.169193252666932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0176194442870201 0 0 0 0 0 0.054494316838825 0 0.0357097413919385 0 0 0 -0.0134837728126434 0 0 0 0 0 0 0 0
0 0 -0.401529842030741 0 0 0 0.556621147171308 0 0 0 0 0 0 0 0 -0.606395020747444 0 0 0 0 1.27769122540266 0 0 0.764183729681496 0 0 1.25264961677231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.3273906933592 0 0 0 0 0 0 0 -0.423330419290286 0 0 0 0 0 0 0 0.339196954118517 0 0 0 0 0 0 0 0 1.01461244196579 0 0 0 0.450546980091144 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.5686039798821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.197220667375096 0 0 0 0 0 0 0 0.787353013490219 0 0 0 0 0 0 0 0.396276213552362 0 0 0 0 0 0 0 0 0
1 0 -0.876646921545544 -0.131795368842085 0 0 0 -0.0976145213577932 0 -0.731388458983824 0 0 -0.876646921545544 0 -0.889453303714726 0 -0.263760827224193 0 0 -0.0790766328831516 0 0 0 0 0.404158032174696 0 0 0 0 0 0 0 0.470808066265622 0 0 0 0 0 0 0 0 0 0
0 0 -1.2922438394508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.0600720727970255 0 0.526220758708528 0.197726726121237 0 0 2.91707121772657 0 0 -0.466240673501871 0 -0.0600720727970255 0 0 0 0 0 0 0 1.44815018938608 0 0 0 0 0 0 0 1.09072502914225 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 -0.183289249462403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.416955957901902 0 0 0 0 0 1.41456421632037 0 1.14509497550446 0 0 0 1.39025822432123 0 0 0 0 0 0 0 0
